Trial,alpha_18,alpha_19,ASR,NGR,Score
0,0.0849057995293322,0.40823246471534524,0.53,0.0,0.53
1,0.22628834206253468,0.05610832474149818,0.41,0.0,0.41
2,0.39277185573441575,0.7443037772094774,0.9,0.01,0.89
3,0.6542420263171358,0.13243323026403908,0.74,0.0,0.74
4,0.7596329106823786,0.5544345108301988,0.93,0.0,0.93
5,0.5100899021905703,0.6674594179086217,0.91,0.0,0.91
6,0.937155524330489,0.5094646305036756,0.93,0.0,0.93
7,0.9552889957011371,0.812509575802224,0.97,0.04,0.9299999999999999
8,0.8070367349031021,0.4558125027099649,0.92,0.0,0.92
9,0.2600022912837656,0.08192437629126936,0.46,0.0,0.46
10,0.6975113333374354,0.994970874009428,0.98,0.04,0.94
11,0.6986535637422464,0.9539715981332318,0.96,0.03,0.9299999999999999
12,0.5691029652264947,0.27711921270558454,0.76,0.0,0.76
13,0.7893840619207169,0.9664032113525183,0.97,0.03,0.94
14,0.8326945710085408,0.9615590441571632,0.97,0.06,0.9099999999999999
15,0.6013809147300659,0.8509222425794671,0.92,0.0,0.92
16,0.43546539839623033,0.9745274300662056,0.93,0.01,0.92
17,0.876679472111824,0.6535099755633448,0.98,0.0,0.98
18,0.900619148908139,0.6431438947977411,0.98,0.0,0.98
19,0.9257894651805291,0.66070977702652,0.97,0.0,0.97
20,0.9886768964025459,0.3383747589485765,0.93,0.0,0.93
21,0.8891563209353491,0.6240578953833676,0.97,0.01,0.96
22,0.8773462615654405,0.6330995453492748,0.97,0.01,0.96
23,0.8869799199819262,0.7522080380990919,0.97,0.03,0.94
24,0.9867171942589887,0.568715315129647,0.96,0.01,0.95
25,0.7433839546883938,0.7116972946614258,0.94,0.0,0.94
26,0.8747671882633681,0.8456802131263257,0.97,0.03,0.94
27,0.009090609635944324,0.5854384075708623,0.58,0.0,0.58
28,0.6222114408104927,0.4398735781648074,0.92,0.0,0.92
29,0.9258719743836304,0.33796072968359014,0.92,0.0,0.92
