Trial,alpha_14,alpha_18,ASR,NGR,Score
0,0.061223801,0.118811034,0.02,0,0.02
1,0.334955531,0.54141026,0.35,0,0.35
2,0.141082063,0.075196988,0.01,0,0.01
3,0.954278871,0.292577732,0.97,0.04,0.93
4,0.30258095,0.482586359,0.27,0,0.27
5,0.179548386,0.842531555,0.75,0,0.75
6,0.657841478,0.645230865,0.96,0.01,0.95
7,0.452498812,0.105536759,0.15,0,0.15
8,0.18565043,0.160098356,0.04,0,0.04
9,0.680853508,0.197178962,0.73,0.01,0.72
10,0.714127976,0.960366444,0.96,0.09,0.87
11,0.96354691,0.529408241,0.95,0.11,0.84
12,0.967280077,0.356372151,0.96,0.05,0.91
13,0.75831836,0.715259182,0.96,0.05,0.91
14,0.825351354,0.313295719,0.93,0.01,0.92
15,0.574396033,0.703229838,0.96,0.01,0.95
16,0.589005174,0.68816519,0.95,0.01,0.94
17,0.50696817,0.691809806,0.93,0,0.93
18,0.589325864,0.872067834,0.98,0.03,0.95
19,0.416161045,0.623391858,0.65,0,0.65
20,0.830377511,0.797045423,0.96,0.12,0.84
21,0.586268927,0.98281603,0.97,0.06,0.91
22,0.590417459,0.842281394,0.97,0.03,0.94
23,0.649513958,0.892211518,0.96,0.05,0.91
24,0.501581874,0.761214287,0.94,0.01,0.93
25,0.804679543,0.602072478,0.95,0.07,0.88
26,0.363745122,0.410549799,0.24,0,0.24
27,0.560039557,0.898978274,0.96,0.03,0.93
28,0.660619264,0.616304626,0.95,0.03,0.92
29,0.427399984,0.767834242,0.92,0,0.92
