Trial,alpha_14,alpha_17,ASR,NGR,Score
0,0.368721509,0.861933429,0.79,0,0.79
1,0.182146463,0.638546173,0.6,0,0.6
2,0.069360336,0.377253826,0.36,0,0.36
3,0.985797918,0.156075447,0.68,0,0.68
4,0.609640004,0.85765496,0.83,0,0.83
5,0.675229695,0.613062235,0.74,0,0.74
6,0.817034333,0.147056857,0.58,0,0.58
7,0.827485429,0.092897255,0.62,0,0.62
8,0.928484168,0.422900592,0.77,0,0.77
9,0.613850437,0.861559481,0.84,0,0.84
10,0.384217719,0.938863085,0.82,0,0.82
11,0.606253223,0.794454073,0.82,0,0.82
12,0.544356741,0.735840537,0.77,0,0.77
13,0.400266057,0.942902598,0.8,0,0.8
14,0.719403001,0.578216338,0.74,0,0.74
15,0.496594701,0.746953066,0.78,0,0.78
16,0.238453986,0.964202177,0.76,0,0.76
17,0.752948618,0.335049083,0.69,0,0.69
18,0.48732917,0.844538698,0.84,0,0.84
19,0.465213739,0.682961951,0.77,0,0.77
20,0.268516396,0.507480158,0.53,0,0.53
21,0.605389903,0.840951191,0.84,0,0.84
22,0.596156322,0.831425195,0.81,0,0.81
23,0.476222778,0.916923193,0.84,0,0.84
24,0.662825684,0.991892361,0.87,0,0.87
25,0.687681621,0.987540484,0.88,0,0.88
26,0.832975778,0.994512579,0.9,0.03,0.87
27,0.867151723,0.999419088,0.9,0.02,0.88
28,0.913916257,0.998999973,0.89,0.05,0.84
29,0.754249455,0.759648186,0.87,0,0.87
